a,sigma,r0,T,swap_length,K,price,vega,volga,delta,gamma
0.831766,0.050550,0.031818,5.006859,2,0.035587,0.01036514,0.25080422,0.13390844,-0.00679740,0.00348096
0.797823,0.249457,0.041272,4.264633,3,0.048678,0.06620449,0.29300267,-0.00650041,-0.06689234,0.06648786
0.871067,0.055217,0.006884,6.047703,1,0.008140,0.01008574,0.19333518,0.00664380,-0.00994606,0.00972001
0.973329,0.243117,0.009977,1.384242,3,0.010675,0.06306240,0.26254782,-0.00705849,0.06698219,-0.01492264
1.949861,0.025220,0.021184,2.124021,1,0.020084,0.00281591,0.08244944,0.17648959,0.00251494,-0.00006027
1.101212,0.168257,0.024735,1.629719,3,0.021586,0.04184287,0.21784395,0.01069170,0.03967756,-0.01339943
1.829666,0.153034,0.048917,1.690204,3,0.052744,0.01275615,0.10191638,0.01783749,0.00296873,-0.00177533
1.295831,0.167721,0.039551,3.363097,4,0.040543,0.02722458,0.16342458,-0.00150365,-0.01666664,0.00996812
1.466210,0.024622,0.016274,5.722091,2,0.015662,0.00404553,0.13472570,0.12998050,-0.00268420,0.00178044
1.168063,0.230582,0.022611,7.429600,1,0.023688,0.02956978,0.12979482,-0.00105641,-0.02527037,0.02159601
0.705352,0.139186,0.008219,3.405457,4,0.007439,0.06126539,0.42901245,-0.01752247,-0.02356237,-0.01182653
1.914843,0.158397,0.038558,1.975770,4,0.045658,0.00721126,0.08496525,0.15916312,-0.00050050,-0.00034137
1.171450,0.263265,0.022971,4.736813,2,0.019053,0.05073521,0.17760919,-0.00026322,-0.04181828,0.03445408
1.731207,0.109139,0.005390,2.464763,2,0.006180,0.01213373,0.11813743,0.00230076,-0.00323996,0.00046319
1.161702,0.243817,0.032224,4.121268,4,0.033548,0.04571708,0.19197179,-0.00330261,-0.03617220,0.02854896
1.242740,0.038688,0.001060,4.607646,4,0.001096,0.00769557,0.20110695,-0.00009874,-0.00489590,0.00303703
0.141878,0.258557,0.006600,4.160717,4,0.006940,0.44508553,1.51100075,-2.22038627,-0.96014011,1.63794243
1.416819,0.112689,0.012347,5.228654,2,0.014255,0.01501443,0.14674510,0.00732247,-0.01041719,0.00722691
0.443197,0.173359,0.010615,3.934168,4,0.010149,0.12831099,0.73044521,-0.12110512,-0.10410542,0.01686363
0.378975,0.094776,0.013084,2.460808,3,0.010734,0.07189015,0.71808243,-0.04794864,0.20789506,-0.02382006
0.745639,0.269145,0.007167,3.569494,4,0.005933,0.11046857,0.39783967,-0.02833163,-0.09896948,0.08237480
1.892850,0.202680,0.044358,3.717675,2,0.048546,0.01565561,0.08850921,0.00505597,-0.00809313,0.00418306
0.890660,0.052342,0.002428,2.149871,4,0.002638,0.01632917,0.32028762,0.00001208,0.06156895,0.09674095
1.053929,0.145748,0.015564,6.168240,1,0.012752,0.02375488,0.15357292,0.00129575,-0.02208039,0.02052099
